"slr","name","category","summary","url","project_id_candidate","review_scope"
"SLR1","Yesno","Speech","Sixty recordings of one individual saying yes or no in Hebrew; each recording is eight words long.","https://www.openslr.org/1/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR2","OpenFST","Software","A mirror of the OpenFst toolkit","https://www.openslr.org/2/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR3","sph2pipe","Software","A mirror of the sph2pipe software","https://www.openslr.org/3/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR4","sctk","Software","A mirror of the sctk scoring software","https://www.openslr.org/4/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR5","MSU Switchboard transcipts","Text","A mirror of the Mississippi State transcripts and lexicon for Switchboard.","https://www.openslr.org/5/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR6","Vystadial","Speech","English and Czech data, mirrored from the Vystadial project","https://www.openslr.org/6/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR8","Sprakbanken","Text","Danish pronunciation dictionary generated using eSpeak","https://www.openslr.org/8/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR9","The AMI pack","Text","Some auxiliary non-speech data used to build AMI systems with Kaldi","https://www.openslr.org/9/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR10","SRE Data","Misc","Various files from SRE data that NIST used to host online","https://www.openslr.org/10/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR11","LibriSpeech language models, vocabulary and G2P models","Text","Language modelling resources, for use with the LibriSpeech ASR corpus","https://www.openslr.org/11/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR12","LibriSpeech ASR corpus","Speech","Large-scale (1000 hours) corpus of read English speech","https://www.openslr.org/12/","librispeech","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR13","RWCP Sound Scene Database","Speech + Software","A database of recordings of real-world sounds and measured room impulse responses","https://www.openslr.org/13/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR14","BEEP Dictionary","Text","Phonemic transcriptions of over 250,000 English words. (British English pronunciations)","https://www.openslr.org/14/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR15","SRE Speaker List","Misc","A list linking speakers across NIST SRE corpra","https://www.openslr.org/15/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR16","The AMI Corpus","Speech","Acoustic speech data and meta-data from The AMI corpus.","https://www.openslr.org/16/","ami_sdm","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR17","MUSAN","Audio","A corpus of music, speech, and noise","https://www.openslr.org/17/","musan","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR18","THCHS-30","Speech","A Free Chinese Speech Corpus Released by CSLT@Tsinghua University","https://www.openslr.org/18/","thchs30","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR20","Aachen Impulse Response Database","Audio","Aachen Impulse Response database (AIR): a database of room impulse responses (mirrored here)","https://www.openslr.org/20/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR21","Spanish Word list","Text","A list of words in Spanish with frequency derived from a large corpus (Spanish Gigaword).","https://www.openslr.org/21/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR22","THUYG-20","Speech","A free Uyghur speech database Released by CSLT@Tsinghua University & Xinjiang University","https://www.openslr.org/22/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR23","NIST LRE 2007 Key","Misc","A file containing metadata for the utterances in the LRE 2007 evaluation","https://www.openslr.org/23/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR24","Iban","Speech","Iban language text and speech corpora for ASR","https://www.openslr.org/24/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR25","ALFFA (African Languages in the Field: speech Fundamentals and Automation)","Speech","Amharic, Swahili and Wolof data, mirrored from the ALFFA git repository","https://www.openslr.org/25/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR26","Simulated Room Impulse Response Database","Audio","A database of simulated room impulse responses","https://www.openslr.org/26/","sim_rir_slr26","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR27","Cantab-TEDLIUM Release 1.1 (February 2015)","Text","Cantab Research Language models for the TEDLIUM database","https://www.openslr.org/27/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR28","Room Impulse Response and Noise Database","Audio","A database of simulated and real room impulse responses, isotropic and point-source noises. The audio files in this data are all in 16k sampling rate and 16-bit precision.","https://www.openslr.org/28/","real_rir_slr28","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR29","Sprakbanken_Swe","Text","Swedish pronunciation dictionary","https://www.openslr.org/29/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR30","Sinhala TTS","Speech","Sinhalese multi-speaker TTS corpora","https://www.openslr.org/30/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR31","Mini LibriSpeech ASR corpus","Speech","Subset of LibriSpeech corpus for purpose of regression testing","https://www.openslr.org/31/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR32","High quality TTS data for four South African languages (af, st, tn, xh)","Speech","Multi-speaker TTS data for four South African languages, Afrikaans, Sesotho, Setswana and isiXhosa.","https://www.openslr.org/32/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR33","Aishell","Speech","Mandarin data, provided by Beijing Shell Shell Technology Co.,Ltd","https://www.openslr.org/33/","aishell","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR34","Santiago Spanish Lexicon","Text","A pronouncing dictionary for the Spanish language.","https://www.openslr.org/34/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR35","Large Javanese ASR training data set","Speech","Javanese ASR training data set containing ~185K utterances.","https://www.openslr.org/35/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR36","Large Sundanese ASR training data set","Speech","Sundanese ASR training data set containing ~220K utterances.","https://www.openslr.org/36/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR37","High quality TTS data for Bengali languages","Speech","Multi-speaker TTS data for Bangladesh Bengali (bn-BD) and Indian Bengali (bn-IN).","https://www.openslr.org/37/","slr37_bn","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR38","Free ST Chinese Mandarin Corpus","Speech","A free Chinese Mandarin corpus by Surfingtech (www.surfing.ai), containing utterances from 855 speakers, 102600 utterances;","https://www.openslr.org/38/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR39","Heroico","Speech","Spanish data, mirrored from the LDC","https://www.openslr.org/39/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR40","Zeroth-Korean","Speech Corpus for Automatic Speech Recognition","Korean Open-source Speech Corpus for Speech Recognition by Zeroth Project (https://github.com/goodatlas/zeroth)","https://www.openslr.org/40/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR41","High quality TTS data for Javanese.","Speech","Multi-speaker TTS data for Javanese (jv-ID)","https://www.openslr.org/41/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR42","High quality TTS data for Khmer.","Speech","Multi-speaker TTS data for Khmer (km-KH)","https://www.openslr.org/42/","","目录级发现；未逐个验收下载、ASR标注和许可"
