dataset,inventory_status,artifact_count,issues,directories
3dspeaker@official-source-20260911,registered,8,0,0
3dspeaker@speaker-records-v1-20260912,registered,13,0,1
aishellmix@pack3-current-source-20260910,registered,7,0,0
aishellmix@pack3-current-audio-record-20260910,registered,5,0,0
aishellmix@original-source-20260910,registered,6,0,0
aishellmix@original-audio-record-20260910,registered,9,0,0
alimeeting@openslr-119-far-local-20260903,registered,4,0,3
audioset_road_traffic@legacy-20260804,registered,1,0,0
chime6@openslr-150-source-20260911,registered,8,0,0
chime6@speaker-records-v1-20260912,registered,15,0,1
ciempiess_light@hf-3d6afb2b3b8d,registered,2,0,1
ciempiess_original@official-2014,download_planned,2,0,1
ciempiess_test@hf-c134fff8e335,download_planned,2,0,1
cnceleb1@openslr-82-v2,registered,2,0,0
cnceleb1@speaker-records-v1-20260912,registered,9,0,1
cnceleb2@openslr-82-v2,registered,4,0,0
cnceleb2@speaker-records-v1-20260912,registered,6,0,1
common-voice-es@26.0,download_planned,2,1,0
common-voice-pt@26.0,download_planned,2,1,0
coraa_mupe@hf-437966f103b3,download_planned,2,0,1
aishell5@1.0,download_planned,5,5,0
common-voice-en@26.0,download_planned,1,1,0
common-voice-zh-cn@26.0,download_planned,1,1,0
common-voice-zh-hk@26.0,download_planned,1,1,0
common-voice-yue@26.0,download_planned,1,1,0
gigaspeech2@hf-8dc0d0e502b7,download_planned,1,0,1
granary@hf-0fe23a860e35,download_planned,1,1,0
omnilingual-asr-corpus@hf-8648ba894637,download_planned,1,1,0
lemas@hf-91f0c1b9a29f,download_planned,1,1,0
reazonspeech@hf-0df78f991f6a,download_planned,1,1,0
google_latam@openslr-20260911,download_planned,2,0,1
hi_mia@openslr-85-test-v2,registered,5,0,0
hi_mia@speaker-records-v1-20260912,registered,13,0,1
librispeech@legacy-20260804,registered,14,0,0
mls@legacy-20260804,registered,6,0,0
gigaspeech@legacy-20260804,registered,6,0,0
common_voice_en@legacy-20260804,registered,6,0,0
singaporean@legacy-20260804,registered,2,0,0
singapore_english@legacy-20260804,registered,4,0,0
tal100_en@legacy-20260804,registered,6,0,0
wenetspeech@legacy-20260804,registered,8,0,0
wenetspeech4tts@legacy-20260804,registered,2,0,0
wenetspeech_chuan@legacy-20260804,registered,1,0,0
wenetspeech_wu@legacy-20260804,registered,1,0,0
emilia_zh@legacy-20260804,registered,1,0,0
aishell@legacy-20260804,registered,6,0,0
aishell2@legacy-20260804,registered,4,0,0
aishell3@legacy-20260804,registered,4,0,0
aishell4@legacy-20260804,registered,4,0,0
thchs30@legacy-20260804,registered,6,0,0
magicdata@legacy-20260804,registered,6,0,0
magicdata_ramc@legacy-20260804,registered,6,0,0
kespeech@legacy-20260804,registered,10,0,0
aidatatang@legacy-20260804,registered,2,0,0
primewords@legacy-20260804,registered,2,0,0
common_voice_zh@legacy-20260804,registered,6,0,0
tal100_zh@legacy-20260804,registered,6,0,0
childmandarin@legacy-20260804,registered,3,0,0
fleurs_zh@legacy-20260804,registered,6,0,0
talcs@legacy-20260804,registered,6,0,0
cs_dialogue@legacy-20260804,registered,6,0,0
cs_dialogue_en@legacy-20260804,registered,6,0,0
cs_dialogue_mix@legacy-20260804,registered,6,0,0
cumix2017@legacy-20260804,registered,2,0,0
legco_speech@legacy-20260804,registered,2,0,0
legco_speech_en@legacy-20260804,registered,2,0,0
mdcc@legacy-20260804,registered,6,0,0
wenetspeech_yue@legacy-20260804,registered,6,0,0
wenetspeech_yue_all@legacy-20260804,registered,6,0,0
common_voice_zh_hk@legacy-20260804,registered,6,0,0
vitw@legacy-20260804,registered,34,0,0
librispeech@icefall-20260908,registered,14,0,0
mls@icefall-20260908,registered,6,0,0
gigaspeech@icefall-20260908,registered,6,0,0
common_voice_en@icefall-20260908,registered,8,0,0
singaporean@icefall-20260908,registered,2,0,0
singapore_english@icefall-20260908,registered,4,0,0
tal100_en@icefall-20260908,registered,6,0,0
wenetspeech@icefall-20260908,registered,10,0,0
wenetspeech_disfluency@icefall-20260908,registered,2,0,0
