id	section	source_line	text	base_audio	selected_audio	literal_audio	term_context_audio	paraphrase_audio	status	datasets
src-cd7922dc63d7c8be	20260915新增	13	选择第二条	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-fb45d9e6b4f84d73	20260915新增	15	选择第四条	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-3a05a06657ee6055	20260915新增	58	关闭红外	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-cfa2d1ff10781f41	20260915新增	61	打开AI模式	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-c40b5cf275fdb3e6	20260915新增	62	开启AI	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-f8b5ac8cb9279791	20260915新增	73	打开记录仪移动网络	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-5ebf157d5e8066c9	20260915新增	74	开启记录仪移动数据	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-39c15c10945e0d58	20260915新增	79	打开记录仪人声播报	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-32c332264f659df0	20260915新增	80	开启记录仪人声播报	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-5d0d68ec122b1d5a	20260915新增	116	录像分辨率支持哪些	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-87a4091a85dc6664	20260915新增	122	视频帧率支持哪些	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-bed09fc4049641f0	20260915新增	132	把视频分段时长设置为5分钟	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-96cddcb74e5acbc8	20260915新增	165	把预录时长设置为10秒	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-5fe086816b46fa4a	20260915新增	181	把延录时长设置为60秒	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-5ba445ceb86872e7	20260915新增	183	把延录时长设置为300秒	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-dd60297a227b3a61	20260915新增	194	把AI识别距离设置为自动	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-3803e2905deaeac0	20260915新增	233	查询记录仪所有可配置项	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-4cddbff9cdbfc452	20260915新增	234	把记录仪的镜头模式、分辨率、帧率、延录时长都告诉我	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-6c70b32422778ad1	20260915新增	258	记录仪音量调到最小	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-f4b25387ab0f2fa7	20260915新增	275	把记录仪亮度调到最暗	0	10	0	0	10	仅改写覆盖	police_v6_8h
