priority	id	section	source_line	text	spoken_variants	existing_audio	reason
补音频	src-ad58dea744a03c0c	20260915新增	3	签收第一条	"[""签收第一条""]"	0	缺音频
补音频	src-b578f4db362739c7	20260915新增	4	签收第二条	"[""签收第二条""]"	0	缺音频
补音频	src-9921cb27ae42f4dc	20260915新增	5	签收第三条	"[""签收第三条""]"	0	缺音频
补音频	src-64c4385abf55fad6	20260915新增	6	签收第四条	"[""签收第四条""]"	0	缺音频
补音频	src-4f6f693b40baa6da	20260915新增	7	签收第五条	"[""签收第五条""]"	0	缺音频
补音频	src-22ccb4dad155f6b5	20260915新增	8	签收第六条	"[""签收第六条""]"	0	缺音频
补音频	src-8556bdec22dc71e2	20260915新增	9	签收第七条	"[""签收第七条""]"	0	缺音频
补音频	src-761608977fd9807e	20260915新增	10	签收第八条	"[""签收第八条""]"	0	缺音频
补音频	src-03b777850fa25bfb	20260915新增	11	签收第九条	"[""签收第九条""]"	0	缺音频
补音频	src-d8ac4db19ba223a4	20260915新增	12	选择第一条	"[""选择第一条""]"	0	缺音频
补原句	src-cd7922dc63d7c8be	20260915新增	13	选择第二条	"[""选择第二条""]"	10	仅改写覆盖
补音频	src-8210b463d3917df3	20260915新增	14	选择第三条	"[""选择第三条""]"	0	缺音频
补原句	src-fb45d9e6b4f84d73	20260915新增	15	选择第四条	"[""选择第四条""]"	10	仅改写覆盖
补音频	src-d102dca3aeff2ea0	20260915新增	16	选择第五条	"[""选择第五条""]"	0	缺音频
补音频	src-dd3bc7a3eaec6761	20260915新增	17	选择第六条	"[""选择第六条""]"	0	缺音频
补音频	src-687d798b7f39728f	20260915新增	18	选择第七条	"[""选择第七条""]"	0	缺音频
补音频	src-1ee6840db374a848	20260915新增	19	选择第八条	"[""选择第八条""]"	0	缺音频
补音频	src-99c914bc77686b50	20260915新增	20	选择第九条	"[""选择第九条""]"	0	缺音频
补音频	src-2605fdb150a61695	20260915新增	26	打开记录仪蓝牙	"[""打开记录仪蓝牙""]"	0	缺音频
补音频	src-ff015406e7fb9629	20260915新增	27	开启记录仪蓝牙	"[""开启记录仪蓝牙""]"	0	缺音频
补音频	src-7f62f8409df13bd3	20260915新增	28	关闭记录仪蓝牙	"[""关闭记录仪蓝牙""]"	0	缺音频
补音频	src-e1f04ef5da796d38	20260915新增	31	打开记录仪WLAN	"[""打开记录仪WLAN"", ""打开记录仪W L A N""]"	0	缺音频
补音频	src-0dc364fa655de281	20260915新增	32	开启记录仪无线局域网	"[""开启记录仪无线局域网""]"	0	缺音频
补音频	src-bd617f059fdebabc	20260915新增	33	关闭记录仪WLAN	"[""关闭记录仪WLAN"", ""关闭记录仪W L A N""]"	0	缺音频
补音频	src-56cafd9a1fbb45d7	20260915新增	34	关闭记录仪无线局域网	"[""关闭记录仪无线局域网""]"	0	缺音频
补音频	src-ab64e0f0ea035754	20260915新增	37	打开记录仪NFC	"[""打开记录仪NFC"", ""打开记录仪N F C""]"	0	缺音频
补音频	src-9ea9f0f5ca33ffa4	20260915新增	38	开启记录仪NFC	"[""开启记录仪NFC"", ""开启记录仪N F C""]"	0	缺音频
补音频	src-c33f71a493ea0026	20260915新增	39	关闭记录仪NFC	"[""关闭记录仪NFC"", ""关闭记录仪N F C""]"	0	缺音频
补音频	src-6a4ca78d8642c4bc	20260915新增	42	打开记录仪飞行模式	"[""打开记录仪飞行模式""]"	0	缺音频
补音频	src-6a20fcd98a053684	20260915新增	43	开启记录仪飞行模式	"[""开启记录仪飞行模式""]"	0	缺音频
补音频	src-5001945d96c0ebca	20260915新增	44	关闭记录仪飞行模式	"[""关闭记录仪飞行模式""]"	0	缺音频
补音频	src-85acaedc6e028816	20260915新增	47	打开记录仪个人热点	"[""打开记录仪个人热点""]"	0	缺音频
补音频	src-61696778d42f5a44	20260915新增	48	开启记录仪热点	"[""开启记录仪热点""]"	0	缺音频
补音频	src-4ffdc4f0f22874e2	20260915新增	49	关闭记录仪个人热点	"[""关闭记录仪个人热点""]"	0	缺音频
补音频	src-d1c475e2a5da6e78	20260915新增	52	打开记录仪手电筒	"[""打开记录仪手电筒""]"	0	缺音频
补音频	src-fcc23b5667d1783d	20260915新增	53	关闭记录仪手电筒	"[""关闭记录仪手电筒""]"	0	缺音频
补音频	src-c89dc0eb0396b176	20260915新增	56	打开红外	"[""打开红外""]"	0	缺音频
补音频	src-87ae45b45c4d9392	20260915新增	57	开启红外	"[""开启红外""]"	0	缺音频
